nsmoid,analysis_weight,age_r,open_year,rate_spread,pmms,cltv,dti,cu,first_mort_r,duration,i_open,considerations,applications,score_0,score_1,score_2,i_close_first_year,i_refinance,i_married,i_FHA,i_large_loan,i_medium_loan,i_higher_ed,i_open_year2,i_open_year3,i_open_year4,i_open_year5,rate,rate_0,rate_1,rate_2,i_open_0,i_open_1,i_open_2
225760,735.3796412556054,.34,2017,1.1,4.149999991059303,.80000001,0,2,2,4,1,2,1,8.0100002,7.5500002,7.6700001,0,1,0,1,0,0,0,0,0,0,1,5.25,3.9890938,3.75,2.75,1,1,1
224981,1785.437717391305,.49000001,2016,.6,4.029999986290932,.77999997,.5,2,1,4,1,3,2,6.2199998,5.9400001,6,0,0,1,0,0,1,0,0,0,1,0,4.6300001,3.6166666,4.5,3.75,1,1,1
226145,1181.728561151079,.55000001,2016,.55,4.079999998211861,.94,.5,2,2,3,0,2,1,6.5,7.3499999,7.73,0,0,0,0,0,1,1,0,0,1,0,4.6300001,3.6166666,4.5,3.75,1,1,0
225447,1785.437717391305,.41,2017,.28,4.099999994039536,1.01,.5,2,2,4,1,1,1,6.9699998,6.3299999,5.5300002,0,0,1,1,1,0,1,0,0,0,1,4.3800001,3.9890938,3.75,2.75,1,1,1
225373,1516.543541666667,.62,2017,.66,3.969999998807907,.28,.5,2,2,4,1,2,1,8.0699997,8.1000004,7.6799998,0,0,1,0,0,1,0,0,0,0,1,4.6300001,3.9890938,3.75,2.75,1,1,1
225233,882.3526060606061,.63999999,2017,.28,4.099999994039536,1,.5,2,2,4,1,2,2,6.4099998,6.5300002,6.46,0,1,1,1,0,1,1,0,0,0,1,4.3800001,3.9890938,3.75,2.75,1,1,1
225732,1623.66,.30000001,2017,-.46,4.209999993443489,.95999998,.25,2,2,4,1,3,3,7.9000001,7.5599999,8.1999998,0,0,1,1,0,1,1,0,0,0,1,3.75,3.9890938,3.75,2.75,1,1,1
226044,1181.728561151079,.5,2016,.37,4.129999995231628,.95999998,.5,2,1,4,1,1,1,7.8400002,7.25,7.54,0,0,0,0,1,0,0,0,0,1,0,4.5,3.6166666,4.5,3.75,1,1,1
225207,1785.437717391305,.25,2017,.33,4.299999997019768,.80000001,.25,2,1,3,0,1,1,7.0500002,7.5999999,7.4400001,0,0,1,0,1,0,1,0,0,0,1,4.6300001,3.9890938,3.75,2.75,1,1,0
225470,1358.108130841121,.33000001,2017,-.4,4.149999991059303,.91000003,.25,2,2,4,1,1,1,8,7.4000001,7.7800002,0,0,1,1,1,0,0,0,0,0,1,3.75,3.9890938,3.75,2.75,1,1,1
225523,1623.66,.56999999,2016,.08,3.419999994337559,.31,.5,1,2,4,1,2,2,7.1500001,6.9400001,7.0999999,0,1,0,0,0,0,0,0,0,1,0,3.5,3.6166666,4.5,3.75,1,1,1
225425,621.0152564102565,.68000001,2017,.05,4.199999988079071,.75,.5,2,2,3,0,1,1,8.1999998,8.0100002,8.1800003,0,0,1,0,1,0,1,0,0,0,1,4.25,3.9890938,3.75,2.75,1,1,0
225844,1785.437717391305,.31999999,2017,.49,4.139999985694885,.80000001,.25,2,2,4,1,1,1,7.0500002,7.2399998,6.9200001,0,0,1,0,0,1,0,0,0,0,1,4.6300001,3.9890938,3.75,2.75,1,1,1
225195,735.3796412556054,.70999998,2017,.22,4.029999986290932,.5,.25,2,2,4,1,3,3,8.2200003,8.0100002,8.1999998,0,0,0,0,0,0,1,0,0,0,1,4.25,3.9890938,3.75,2.75,1,1,1
226062,735.3796412556054,.69999999,2017,.06,4.189999997615814,.33000001,.25,2,2,2,0,1,1,7.9899998,7.8899999,7.96,1,1,0,1,0,0,1,0,0,0,1,4.25,3.9890938,3.75,2.75,1,0,1
225429,1623.66,.43000001,2017,-.1,4.099999994039536,.95999998,.25,2,2,4,1,1,1,7.04,7.3000002,7.3200002,0,0,0,1,0,0,0,0,0,0,1,4,3.9890938,3.75,2.75,1,1,1
224990,882.3526060606061,.62,2017,.05,4.079999998211861,.76999998,.5,2,2,4,1,3,1,8.0299997,7.5700002,8.0200005,0,0,1,0,0,1,1,0,0,0,1,4.1300001,3.9890938,3.75,2.75,1,1,1
225281,1516.543541666667,.28,2017,.31,4.189999997615814,.95999998,.5,2,2,4,1,1,1,6.1799998,6.4099998,6.6799998,0,0,1,1,0,1,0,0,0,0,1,4.5,3.9890938,3.75,2.75,1,1,1
224979,1358.108130841121,.44999999,2017,-.4,4.149999991059303,1.03,.25,2,2,4,1,2,1,6.48,6.9099998,6.5700002,0,0,1,1,1,0,1,0,0,0,1,3.75,3.9890938,3.75,2.75,1,1,1
225439,1623.66,.23999999,2017,.22,4.029999986290932,1.01,.25,2,1,4,1,3,2,6.98,7.4000001,7.4400001,0,0,0,1,0,1,1,0,0,0,1,4.25,3.9890938,3.75,2.75,1,1,1
225238,621.0152564102565,.62,2017,-.06,4.189999997615814,.68000001,.25,2,2,4,1,1,1,6.8200002,7.52,7.1700001,0,1,1,0,1,0,0,0,0,0,1,4.1300001,3.9890938,3.75,2.75,1,1,1
225744,1181.728561151079,.44,2017,.67,4.209999993443489,.74000001,.5,2,2,4,1,1,1,6.21,6.2600002,5.5799999,0,1,1,0,0,0,0,0,0,0,1,4.8800001,3.9890938,3.75,2.75,1,1,1
225951,882.3526060606061,.62,2017,.04,4.209999993443489,.88999999,.5,2,2,4,1,1,1,7.21,7.1399999,7.9299998,0,1,1,0,1,0,1,0,0,0,1,4.25,3.9890938,3.75,2.75,1,1,1
