nsmoid,analysis_weight,age_r,open_year,rate_spread,pmms,cltv,dti,cu,first_mort_r,i_open,considerations,applications,score_0,i_close_0,score_1,i_close_1,i_close_first_year,i_refinance,i_married,i_FHA,i_large_loan,i_medium_loan,i_higher_ed,i_open_year2,i_open_year3,i_open_year4,i_open_year5,rate
201974,1028.749258064516,.60000002,2013,.37,4.509999990463257,1.02,.5,2,2,0,2,1,7.3400002,0,6.8699999,0,0,0,0,1,0,1,1,0,0,0,0,4.8800001
202687,1028.749258064516,.72000003,2013,.5,3.379999995231628,.31,.5,2,2,1,1,1,6.8400002,0,8.0699997,0,0,1,1,0,0,0,0,0,0,0,0,3.8800001
200600,1028.749258064516,.62,2013,-.03,3.909999996423721,1.02,.25,2,1,0,2,2,8.1000004,0,7.9000001,0,0,0,0,1,0,1,1,0,0,0,0,3.8800001
202382,1905.339552238806,.58999997,2013,.47,3.529999993741512,.55000001,.25,2,2,0,1,1,7.2600002,0,7.6300001,0,0,1,0,0,0,1,0,0,0,0,0,4
201819,1437.587274774775,.63,2013,-.46,4.459999993443489,.73000002,.25,2,2,1,2,1,8.0500002,0,7.46,0,0,0,0,0,0,1,1,0,0,0,0,4
202534,1905.339552238806,.47999999,2013,.29,3.339999996125698,.63,.25,2,2,0,1,1,6.79,0,6.5799999,0,0,1,1,0,0,1,0,0,0,0,0,3.6300001
201164,1706.654411764706,.52999997,2013,.74,3.509999997913837,1.08,.5,2,2,1,1,1,6.71,0,6.6500001,0,0,1,1,0,0,1,1,0,0,0,0,4.25
203547,1437.587274774775,.54000002,2013,.8100000000000001,3.319999992847443,.75,.25,2,2,0,1,1,7.4299998,0,6.4200001,0,0,0,1,0,0,0,1,0,0,0,0,4.1300001
202955,1028.749258064516,.70999998,2013,-.03,3.529999993741512,.36000001,.25,2,2,0,1,1,8.0600004,0,8.0299997,0,0,1,1,0,0,1,0,0,0,0,0,3.5
201108,1437.587274774775,.54000002,2013,.72,3.409999996423721,.82999998,.5,2,2,1,2,2,6.9400001,0,6.9899998,0,0,1,1,0,0,1,0,0,0,0,0,4.1300001
201678,1028.749258064516,.77999997,2013,1.5,3.399999998509884,.89999998,.25,2,2,0,1,1,7.8099999,0,7.0300002,0,0,0,0,1,0,0,0,0,0,0,0,4.9000001
201860,1028.749258064516,.44999999,2013,-.05,3.929999999701977,.75,.25,2,2,0,2,1,7.5700002,0,7.52,0,0,0,0,1,0,1,1,0,0,0,0,3.8800001
204264,1028.749258064516,.61000001,2013,.03,3.349999994039536,.95999998,.25,2,2,0,3,1,7.1199999,0,6.6599998,0,0,0,0,1,0,0,1,0,0,0,0,3.3799999
204540,1437.587274774775,.44999999,2013,-.01,4.509999990463257,.68000001,.25,1,2,1,2,1,8.0699997,0,8.1499996,0,0,1,0,0,0,0,1,0,0,0,0,4.5
200450,1706.654411764706,.41999999,2013,.35,4.399999991059303,.80000001,.25,2,2,0,2,1,7.21,0,6.4499998,0,0,1,0,0,0,0,1,0,0,0,0,4.75
203748,1437.587274774775,.63999999,2013,.43,3.569999992847443,1.02,.25,2,2,1,2,1,7.5100002,0,7.8600001,0,0,1,0,1,0,0,0,0,0,0,0,4
201465,1706.654411764706,.40000001,2013,-.06,4.309999987483025,.67000002,.25,2,2,0,1,1,7.8299999,0,8.1499996,0,0,1,1,1,0,1,1,0,0,0,0,4.25
202824,1706.654411764706,.43000001,2013,-1.02,3.519999995827675,1.05,.5,2,2,0,1,1,7.2600002,0,7.04,0,0,0,0,1,0,1,1,0,0,0,0,2.5
200327,1028.749258064516,.52999997,2013,.95,3.929999999701977,.95999998,.5,2,2,0,1,1,7.4000001,0,7.0700002,0,0,0,0,0,0,1,0,0,0,0,0,4.8800001
204046,1706.654411764706,.70999998,2013,.84,3.53999999910593,1.04,.25,2,2,0,2,1,6.9499998,0,7.29,0,0,1,1,0,0,0,0,0,0,0,0,4.3800001
203848,1028.749258064516,.63999999,2013,-.66,3.409999996423721,.75,.5,2,2,1,3,1,7.8800001,0,7.5599999,0,0,0,1,0,1,0,1,0,0,0,0,2.75
203992,3025.065165876777,.36000001,2013,-.68,3.929999999701977,.79000002,.25,2,2,0,2,1,6.9899998,0,7.3299999,0,0,1,1,0,0,1,1,0,0,0,0,3.25
200584,1905.339552238806,.56,2013,-.03,3.409999996423721,.55000001,.5,2,2,1,2,1,6.5100002,0,7.3499999,0,0,1,1,0,1,0,1,0,0,0,0,3.3800001
200134,1905.339552238806,.44999999,2013,-.05,3.929999999701977,.95999998,.5,2,1,1,1,1,6.4299998,0,6.8800001,0,0,0,0,1,0,0,1,0,0,0,0,3.8800001
202804,1437.587274774775,.58999997,2013,.2,3.429999999701977,1.02,.5,2,1,1,1,1,6.3200002,0,6.4699998,0,0,0,0,1,0,1,0,0,0,0,0,3.6300001
200395,1028.749258064516,.38,2013,.32,3.809999994933605,.99000001,.5,2,2,0,2,2,6.54,0,5.9499998,0,0,0,0,1,0,1,0,0,0,0,0,4.1300001
203252,3025.065165876777,.20999999,2013,-1.5,4.319999992847443,.63999999,.25,2,1,0,1,2,7.6999998,0,7.54,0,0,0,0,1,0,0,0,0,0,0,0,2.8199999
202535,1905.339552238806,.33000001,2013,-.1,3.349999994039536,1,.25,2,2,1,1,1,7.3899999,0,7.5999999,0,0,0,1,1,0,1,0,0,0,0,0,3.25
203726,1706.654411764706,.25,2013,-.58,4.459999993443489,.88999999,.5,2,1,0,1,1,7.6799998,0,7.4299998,0,0,0,0,0,0,1,1,0,0,0,0,3.8799999
201898,1028.749258064516,.66000003,2013,.21,3.419999994337559,.43000001,.25,2,2,1,1,1,7.0599999,0,7.1199999,0,0,1,1,0,0,0,1,0,0,0,0,3.6299999
203631,1028.749258064516,.67000002,2013,.48,3.399999998509884,.43000001,.5,2,2,0,3,1,7.9299998,0,7.6799998,0,0,1,1,1,1,0,1,0,0,0,0,3.8800001
200621,1905.339552238806,.38,2013,.59,3.53999999910593,.92000002,.25,2,2,1,1,1,6.8800001,0,7.3699999,0,0,1,1,1,0,0,0,0,0,0,0,4.1300001
202860,1706.654411764706,.44,2013,.06,3.569999992847443,.66000003,.5,2,2,0,2,1,6.7600002,0,6.8600001,0,0,1,0,0,0,0,1,0,0,0,0,3.6299999
203372,1437.587274774775,.61000001,2013,.06,3.319999992847443,.73000002,.25,2,2,1,3,1,7.0500002,0,7.5300002,0,0,1,0,0,1,0,1,0,0,0,0,3.3799999
